Serial Number,UP#,Make,Office,Modality,Status,Room,Tech,Equipment ,Contract/Warranty Begin, Contract/Warranty End Date ,Service Contract,Service Support,Support Phone#,Support Email,Coverage Days Left,Service Annual Fee,Note,Purchase From,Purchase Date,Delivery Date,Install Date,Remove By,Remove Date,Remove Description
28011099319,,Hologic,CI,Mammo,In Use,,,Mammo Hologic Selenia (old),10/1/2022,9/30/2025,,AR RAD Consulting,877-299-8303,info@arrad.net,,"$17,000.00 ",2 pm/yr,,,,,,,
SDM131800166 ,,Hologic,CI,Mammo,In Use,,,Mammo Hologic Selenia Dimensions 2D,10/20/2022,10/19/2026,,Hologic,877-371-4372,ServiceOperations@hologic.com,,"$36,082.00 ",2 pm/yr,,,,,,,
R5930,,GE,CI,MRI,In Use,,,MRI GE 23 X,1/22/2025,1/22/2028,,,,,,"$86,400.00 ",,,,,,,,
501896us7,,GE,CI,Ultrasound,In Use,Room 1,Cathy,Ultrasound GE Loqiq E10  ,n/a,n/a,,Valco Medical (Jose),951-667-9845,,,,"12/15/23: new machine installed (180 days warranty, 6/12/24: Warranty end",Valco Medical (Jose),,,12/15/2023,,,
204729us6,,GE,CI,Ultrasound,In Use,Room 5,Allison,Ultrasound GE Logic E9 ,1/20/2020,1/19/2027,,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com ,,"$6,497.00 ","incl 1 pm/year, last pm done on 3/10/25",,,,,,,
INVS1600006,,GE,CI,Ultrasound Auto Breast,Not Use,Room 5,,Ultrasound GE Automated Breast  Somo V Platinum ,,,,,,,,,Not in use,,,,,,,
H93323,,Accogent,CI,X-Ray,In Use,Room 2,,X-Ray  Paxis 200 Universal system,,,,Digital Diagnostic LLC,714-249-3824,,,, 1 pm/yr , Jaken Medical Inc ,,,,,,
205913us6,,GE,CI ,Ultrasound,In Use,Room 2,Tunghua,Ultrasound GE Logic E9 (new),8/21/2025,8/21/2026,,Valco Medical (Jose),951-667-9845,,,,under warranty,Valco Medical (Jose),8/20/2025,,8/21/2025,,,
KE11295104 ,UP0058,Hitachi,CI ,Ultrasound,In Use,Room 3, Shelli ,Ultrasound Hitachi  Hi vision preirus,,,,Fujifilm,800-800-4925,"Gilito.Belmonte@fujifilm.com, shm-na-hcus-UltrasoundService@fujifilm.com",,,,,,,,,,
"02706-0822, 02917-0822, 02908-0822",,Del Medical,CI ,X-Ray,In Use,Room 1,,X-Ray Del Medical,,,,Digital Diagnostic LLC,714-249-3824,,,, 1 pm/yr ,,,,,,,
33009,,Philips,MP,CT,In Use,,,CT Philips Incisive (manufactureed 4/2021),6/30/2022,12/29/2026,,Philips,800-722-9377 (site id: 86629256),,,,,,,,,,,
id:1RPA+300425,,GE,MP,Dexa,In Use,,,DEXA GE Lunar system,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,,1 pm/yr,,,,,,,
SDM131800445    ,,Hologic,MP,Mammo,In Use,,,Mammo Hologic Selenia Dimensions 2D            ,10/2/2024,10/1/2027,,Hologic,877-371-4372,ServiceOperations@hologic.com,,"$30,593.75 ",2 pm/yr,,,,,,,
10707,,Philips,MP,MRI,In Use,,,MRI Philips Intera 1.5T (installed 8/30/2004),1/1/2025,1/1/2028,,Advanced Imaging Services,800-200-3583,,,"$78,000.00 ",,,,,,,,
205915US6,,GE,MP,Ultrasound,In Use,Room 1,Nancy ,GE Logiq E9 R6 XDClear 2.0 (new),6/3/2025,6/3/2026,,Valco Medical (Jose),951-667-9845,,,,under warranty,Valco Medical (Jose),5/29/2025,,6/2/2025,,,
203518US6,,GE,MP,Ultrasound,In Use,Room 2,Linda,GE Logiq E9 R6 XDClear 2.0 ,12/12/2024,12/12/2025,,Valco Medical (Jose),951-667-9845,,,,"12/12/24: new machine installed, under warranty",Valco Medical (Jose),,,12/12/2024,,,
203528US6,,GE,MP,Ultrasound,In Use,Room 3,Sage,GE Logiq E9 R6 XDClear 2.0 ,12/12/2024,12/12/2025,,Valco Medical (Jose),951-667-9845,,,,"12/12/24: new machine installed, under warranty",Valco Medical (Jose),,,12/12/2024,,,
LE9R134156,,GE,MP,Ultrasound,In Use,Room 4,Christina/Kelly,Ultrasound GE Logic E9 ,2/4/2020,2/3/2027,,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com ,,"$6,497.00 ","incl 1 pm/year, last pm done March 2025",,,,,,,
204X9735,U7AR0084,Hitachi,MP ,Ultrasound,In Use,Room 5,Azusena,Ultrasound Hitachi  ALOKA ARIETTA 70,7/19/2023,7/18/2026,,Fujifilm,800-800-4925,"Gilito.Belmonte@fujifilm.com, shm-na-hcus-UltrasoundService@fujifilm.com",,"$5,875.00 ","incl 1 pm/year, last pm done on 11/3/2025",,,,,,,5/6/24: moved from Arcadia Rm1 to MP.
KE16178903,UP0006,Hitachi,MP ,Ultrasound,Not Use,Hallway,,Ultrasound Hitachi  Hi vision preirus,,,,Fujifilm,800-800-4925,"Gilito.Belmonte@fujifilm.com, shm-na-hcus-UltrasoundService@fujifilm.com",,,Not in use,,,,,,,
USYS80128,,GE,MP ,Ultrasound Auto Breast,Not Use,Hallway,,Ultrasound GE Automated Breast  Somo V Platinum ,,,,,,,,,Not in use,,,,,,,
PP42100,,Sedecal,MP ,X-Ray,In Use,,,X-Ray  Radiographic system Sedecal X Plus,,,,Digital Diagnostic LLC,714-249-3824,,,, 2 pm/yr ,,,,,,,
Id:1RPA130760,,GE,SG,Dexa,In Use,,,DEXA GE Lunar system,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,,1 pm/yr,,,,,,,
28407116837,,Hologic,SG,Mammo,In Use,,,Mammo Hologic  Selenia (old),8/1/2022,8/31/2025,,AR RAD Consulting,877-299-8303,info@arrad.net,,"$18,000.00 ",2 pm/yr,,,,,,,
SDM131800784,,Hologic,SG,Mammo,In Use,,,Mammo Hologic Selenia Dimensions 2D                                                                            ,2/9/2024,12/31/2026,,AR RAD Consulting,877-299-8303,info@arrad.net,,"$26,000.00 ",2 pm/yr,,,,,,,
145658,,Siemens,SG,MRI,In Use,,,MRI 3 T Skyra Siemens-scanner,11/3/2019,11/2/2026,,Siemens,800-888-7436,serviceupdateapplications.team@siemens-healthineers.com; addressrobert.labrash@siemens.healthineers.com,,"$114,000.00 ",,,,,,,,
18072,,,SG,MRI chiller,In Use,,,MRI  chiller,11/3/2019,11/2/2026,,Siemens,800-888-7436,serviceupdateapplications.team@siemens-healthineers.com,,"$11,500.00 ","9/18/24: Per Brett Chafins, the contract was renew on 1/3/24 end on 12/3/26",,,,,,,
US423C0646,,Philips,SG,Ultrasound,In Use,Room 2,Shafalee,Ultrasound Philips EP1Q Elite (new),10/31/2023,10/31/2029,,Philips,800-722-9377,ccscdispatch@philips.com,,"$5,996.04 ",,Philips,,,,,,
501411us7,,GE,SG,Ultrasound,In Use,Room 1,Javier/Giselle,GE Loqiq E10  ,n/a,n/a,,Valco Medical (Jose),951-667-9845,,,,"10/15/23: new machine installed (180 days warranty), 4/12/24:warranty end",Valco Medical (Jose),,,10/15/2023,,,
LE9R200445,,GE,SG,Ultrasound,In Use,Room 3,Vicky/Van,Ultrasound GE Logic E9 ,2/4/2020,2/3/2027,,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com ,,"$6,497.00 ","incl 1 pm/year, last pm done March 2025",,,,,,,
203531US6,,GE,SG,Ultrasound,In Use,Room 5,Ruby ,GE Logiq E9 R6 XDCLEAR  ,n/a,n/a,,Valco Medical (Jose),951-667-9845,,,,11/12/2024: new machine installed,Valco Medical (Jose),,,11/12/2024,,,
pp42114,,Sedecal,SG,X-Ray,In Use,,,X-Ray  Radiographic system Sedecal X Plus,,,,Digital Diagnostic LLC,714-249-3824,,,, 2 pm/yr ,,,,,,,
KE11295102,UP0067,Hitachi,SG ,Ultrasound,Not Use,Room 4,,Ultrasound Hitachi  Hi vision preirus,,,,Fujifilm,800-800-4925,"Gilito.Belmonte@fujifilm.com, shm-na-hcus-UltrasoundService@fujifilm.com",,,,,,,,,,
392186CN3,,GE,Synergy,CT,New,,,VCT Lightspeed / 64 slices,9/28/2020,9/28/2027,,GE Healthcare,1-800-437-1171,gehealthcareservice@ge.com,,"$119,445 ",,,2006,,,,,
26569,,Siemens,Synergy,MRI,New,,,Avanto / 1.5T,6/12/2019,6/11/2026,,Siemens Service Team,1-888-826-9702,siemensservice@healthcare.siemens.com,,"$89,568.00 ",pm (per manufacturer's recommendations),,2007,,,,,
SU31604023,,SYFM,Synergy,X-Ray,In Use,,,SU-300X / PFD U-Arm,no contract,No contract,,,,,,,,,2020,,,,,
USD20F1268,,Phillips,Synergy,Ultrasound,In Use,,,101930 Affiniti 70 Ultrasound System,1/12/2022,1/11/2027,,Phillips,,,,,pm (per manufacturer's recommendations),,2021,,,,,
1.18E+11,,WelchAllyn,Synergy,EKG,In Use,,,AM12,no contract,No contract,,,,,,,,,2021,,,,,
400-655097,,Siemens ,Synergy,MRI Chiller,In Use,,,Chiller KKT/cBoxX Only,9/19/2022,12/31/2030,,Siemens ,,,,"$8,840 ",pm (per manufacturer's recommendations),,2018,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
KE11103001,,,,,,,,,,,,,,,,,,,,,,,,
